customer_id,product_id,adoption_date,product_name,product_category
CUST000001,PRD12,2024-03-12,Bancassurance,Insurance
CUST000001,PRD06,2022-06-16,Auto Loan,Loan
CUST000001,PRD11,2019-12-27,Overdraft Facility,Credit
CUST000001,PRD07,2017-02-02,Mortgage,Loan
CUST000001,PRD01,2017-06-26,Checking Account,Transaction
CUST000001,PRD08,2017-03-26,Consumer Loan,Loan
CUST000002,PRD05,2024-04-29,Personal Loan,Loan
CUST000002,PRD01,2019-02-08,Checking Account,Transaction
CUST000002,PRD11,2018-04-02,Overdraft Facility,Credit
CUST000002,PRD02,2023-03-10,Savings Account,Deposit
CUST000003,PRD01,2023-07-29,Checking Account,Transaction
CUST000003,PRD09,2024-09-03,Term Deposit,Deposit
CUST000003,PRD08,2023-10-13,Consumer Loan,Loan
CUST000003,PRD02,2024-12-13,Savings Account,Deposit
CUST000004,PRD05,2021-05-02,Personal Loan,Loan
CUST000004,PRD03,2024-02-05,Credit Card,Card
CUST000004,PRD07,2022-10-29,Mortgage,Loan
CUST000004,PRD01,2020-06-14,Checking Account,Transaction
CUST000004,PRD04,2024-11-25,Debit Card,Card
CUST000005,PRD10,2022-08-17,Investment Account,Investment
CUST000005,PRD03,2019-01-05,Credit Card,Card
CUST000005,PRD06,2023-09-30,Auto Loan,Loan
CUST000005,PRD01,2019-09-02,Checking Account,Transaction
CUST000005,PRD12,2019-11-04,Bancassurance,Insurance
CUST000006,PRD04,2023-04-20,Debit Card,Card
CUST000006,PRD01,2021-12-03,Checking Account,Transaction
CUST000006,PRD06,2018-02-09,Auto Loan,Loan
CUST000007,PRD01,2020-03-26,Checking Account,Transaction
CUST000007,PRD03,2021-04-16,Credit Card,Card
CUST000008,PRD01,2022-01-26,Checking Account,Transaction
CUST000009,PRD01,2018-04-28,Checking Account,Transaction
CUST000010,PRD04,2024-11-12,Debit Card,Card
CUST000010,PRD01,2020-07-30,Checking Account,Transaction
CUST000010,PRD03,2022-03-05,Credit Card,Card
CUST000010,PRD07,2019-08-19,Mortgage,Loan
CUST000011,PRD01,2024-01-23,Checking Account,Transaction
CUST000012,PRD01,2024-04-05,Checking Account,Transaction
CUST000012,PRD02,2024-01-02,Savings Account,Deposit
CUST000013,PRD04,2022-06-27,Debit Card,Card
CUST000013,PRD01,2024-08-25,Checking Account,Transaction
CUST000013,PRD02,2024-03-17,Savings Account,Deposit
CUST000014,PRD01,2024-12-22,Checking Account,Transaction
CUST000014,PRD02,2024-12-01,Savings Account,Deposit
CUST000015,PRD01,2024-10-29,Checking Account,Transaction
CUST000015,PRD03,2024-04-19,Credit Card,Card
CUST000016,PRD01,2021-02-11,Checking Account,Transaction
CUST000016,PRD03,2024-09-11,Credit Card,Card
CUST000016,PRD02,2021-02-17,Savings Account,Deposit
CUST000016,PRD12,2022-07-05,Bancassurance,Insurance
CUST000017,PRD01,2024-08-20,Checking Account,Transaction
CUST000017,PRD02,2024-12-24,Savings Account,Deposit
CUST000018,PRD05,2022-10-13,Personal Loan,Loan
CUST000018,PRD01,2024-04-23,Checking Account,Transaction
CUST000018,PRD03,2024-02-12,Credit Card,Card
CUST000018,PRD02,2023-10-23,Savings Account,Deposit
CUST000019,PRD01,2021-11-16,Checking Account,Transaction
CUST000019,PRD02,2023-04-12,Savings Account,Deposit
CUST000019,PRD08,2024-12-06,Consumer Loan,Loan
CUST000019,PRD12,2024-01-31,Bancassurance,Insurance
CUST000020,PRD01,2021-05-01,Checking Account,Transaction
CUST000020,PRD07,2019-10-23,Mortgage,Loan
CUST000021,PRD01,2019-12-13,Checking Account,Transaction
CUST000021,PRD10,2021-05-27,Investment Account,Investment
CUST000021,PRD03,2022-07-28,Credit Card,Card
CUST000022,PRD04,2020-11-25,Debit Card,Card
CUST000022,PRD01,2018-05-05,Checking Account,Transaction
CUST000022,PRD10,2023-09-12,Investment Account,Investment
CUST000023,PRD01,2023-06-25,Checking Account,Transaction
CUST000023,PRD03,2024-09-19,Credit Card,Card
CUST000023,PRD11,2021-08-10,Overdraft Facility,Credit
CUST000023,PRD02,2024-06-25,Savings Account,Deposit
CUST000024,PRD01,2023-05-23,Checking Account,Transaction
CUST000024,PRD02,2023-02-26,Savings Account,Deposit
CUST000025,PRD01,2022-11-02,Checking Account,Transaction
CUST000025,PRD11,2024-02-04,Overdraft Facility,Credit
CUST000026,PRD01,2023-12-15,Checking Account,Transaction
CUST000026,PRD09,2024-10-06,Term Deposit,Deposit
CUST000026,PRD11,2024-06-04,Overdraft Facility,Credit
CUST000026,PRD02,2024-04-01,Savings Account,Deposit
CUST000027,PRD06,2021-02-07,Auto Loan,Loan
CUST000027,PRD07,2020-05-01,Mortgage,Loan
CUST000027,PRD01,2023-04-13,Checking Account,Transaction
CUST000027,PRD04,2024-11-18,Debit Card,Card
CUST000027,PRD02,2022-09-25,Savings Account,Deposit
CUST000028,PRD01,2023-08-04,Checking Account,Transaction
CUST000028,PRD02,2024-09-15,Savings Account,Deposit
CUST000029,PRD01,2024-09-24,Checking Account,Transaction
CUST000029,PRD03,2023-04-25,Credit Card,Card
CUST000029,PRD02,2024-09-20,Savings Account,Deposit
CUST000030,PRD01,2020-10-08,Checking Account,Transaction
CUST000031,PRD05,2022-09-27,Personal Loan,Loan
CUST000031,PRD03,2022-03-31,Credit Card,Card
CUST000031,PRD11,2024-05-04,Overdraft Facility,Credit
CUST000031,PRD07,2023-11-03,Mortgage,Loan
CUST000031,PRD01,2024-11-04,Checking Account,Transaction
CUST000031,PRD08,2024-03-06,Consumer Loan,Loan
CUST000031,PRD04,2023-11-16,Debit Card,Card
CUST000031,PRD02,2022-12-28,Savings Account,Deposit
CUST000032,PRD01,2023-08-09,Checking Account,Transaction
CUST000032,PRD02,2023-11-05,Savings Account,Deposit
CUST000032,PRD06,2023-10-27,Auto Loan,Loan
CUST000032,PRD08,2024-04-11,Consumer Loan,Loan
CUST000033,PRD01,2021-04-01,Checking Account,Transaction
CUST000033,PRD03,2024-01-25,Credit Card,Card
CUST000033,PRD11,2019-08-14,Overdraft Facility,Credit
CUST000033,PRD12,2021-06-01,Bancassurance,Insurance
CUST000034,PRD01,2024-11-15,Checking Account,Transaction
CUST000034,PRD12,2024-05-16,Bancassurance,Insurance
